Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-08-16,87.9,89.63,87.59,88.06,1504090.0,0.0,1.0,87.9,89.63,87.59,88.06,1504090.0
2017-08-15,90.58,90.6478,87.64,88.02,2969222.0,0.0,1.0,90.58,90.6478,87.64,88.02,2969222.0
2017-08-14,92.86,93.437,89.76,90.75,1610928.0,0.0,1.0,92.86,93.437,89.76,90.75,1610928.0
2017-08-11,92.02,93.9,91.94,92.87,1151574.0,0.0,1.0,92.02,93.9,91.94,92.87,1151574.0
2017-08-10,93.5,94.665,91.97,92.06,3377904.0,0.0,1.0,93.5,94.665,91.97,92.06,3377904.0
2017-08-09,94.81,96.42,94.13,94.58,1204127.0,0.0,1.0,94.81,96.42,94.13,94.58,1204127.0
2017-08-08,95.62,96.67,94.41,94.98,1879728.0,0.0,1.0,95.62,96.67,94.41,94.98,1879728.0
2017-08-07,94.98,96.13,92.77,96.04,1423541.0,0.0,1.0,94.98,96.13,92.77,96.04,1423541.0
2017-08-04,90.48,95.75,89.86,95.21,2029250.0,0.0,1.0,90.48,95.75,89.86,95.21,2029250.0
2017-08-03,96.32,96.79,89.44,89.69,2872054.0,0.0,1.0,96.32,96.79,89.44,89.69,2872054.0
2017-08-02,97.99,97.99,91.86,95.84,3731774.0,0.0,1.0,97.99,97.99,91.86,95.84,3731774.0
2017-08-01,96.19,96.65,94.54,95.35,944605.0,0.0,1.0,96.19,96.65,94.54,95.35,944605.0
2017-07-31,96.51,96.71,94.61,95.88,990988.0,0.0,1.0,96.51,96.71,94.61,95.88,990988.0
2017-07-28,96.33,97.33,95.87,96.65,904798.0,0.0,1.0,96.33,97.33,95.87,96.65,904798.0
2017-07-27,96.42,97.13,95.575,96.57,1017642.0,0.0,1.0,96.42,97.13,95.575,96.57,1017642.0
2017-07-26,96.62,97.83,95.34,96.48,965270.0,0.0,1.0,96.62,97.83,95.34,96.48,965270.0
